id,name
1,Category A
,Category A
,Category A
,Category A
,Category A
,Category A
2,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
3,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
4,Intermediation 1
5,Intermediation 2
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Intermediation 2
6,Intermediation 3
,Intermediation 3
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Intermediation 3
,Category B
,Intermediation 3
,Intermediation 1
,Intermediation 1
,Category B
,Category A
,Category A
,Category B
,Category B
,Category B
,Category B
,Category A
,Category B
,Category B
,Intermediation 1
,Category B
,Intermediation 3
,Intermediation 2
,Intermediation 1
,Category B
,Category B
,Category B
,Category B
,Intermediation 2
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Intermediation 2
,Category A
,Category B
,Category B
,Category B
,Category A
,Category B
,Category B
,Intermediation 2
,Category B
,Category B
,Category B
,Category B
,Intermediation 1
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category C
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category C
,Intermediation 3
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Category B
,Category B
,Intermediation 1
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category A
,Intermediation 1
,Category B
,Category A
,Category B
,Intermediation 2
,Category B
,Category B
,Category C
,Category C
,Intermediation 2
,Category B
,Category B
,Category B
,Intermediation 2
,Category A
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Category B
,Category B
,Category C
,Category A
,Intermediation 2
,Category B
,Category B
,Category B
,Intermediation 1
,Category B
,Category B
,Intermediation 2
,Category B
,Category B
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Category B
,Category B
,Category B
,Category B
,Category B
,Category A
,Intermediation 1
,Category B
,Category B
,Category B
,Intermediation 2
,Category B
,Intermediation 2
,Intermediation 1
,Intermediation 2
,Category B
,Intermediation 2
,Category B
,Category B
,Category B
,Intermediation 1
,Category B
,Intermediation 2
,Intermediation 2
,Intermediation 1
,Category A
,Category B
,Category B
,Category B
,Intermediation 2
,Category B
,Intermediation 2
,Intermediation 2
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Category B
,Intermediation 2
,Intermediation 2
,Intermediation 2
,Intermediation 1
,Category B
,Category C
,Category B
,Category B
,Intermediation 3
,Category B
,Category B
,Category B
,Category B
,Intermediation 2
,Category B
,Category A
,Category C
,Category C
,Category C
,Intermediation 3
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Category C
,Intermediation 3
