ISO3,Country Name,Region,SIDS,LDCs
AFG,Afghanistan,Asia-Pacific,FALSE,TRUE
ALB,Albania,Eastern Europe,FALSE,FALSE
DZA,Algeria,Africa,FALSE,FALSE
AND,Andorra,Western Europe and Others,FALSE,FALSE
AGO,Angola,Africa,FALSE,TRUE
ATG,Antigua and Barbuda,Latin America and the Caribbean,TRUE,FALSE
ARG,Argentina,Latin America and the Caribbean,FALSE,FALSE
ARM,Armenia,Eastern Europe,FALSE,FALSE
AZE,Azerbaijan,Eastern Europe,FALSE,FALSE
BHS,Bahamas,Latin America and the Caribbean,TRUE,FALSE
BHR,Bahrain,Asia-Pacific,TRUE,FALSE
BGD,Bangladesh,Asia-Pacific,FALSE,TRUE
BRB,Barbados,Latin America and the Caribbean,TRUE,FALSE
BLZ,Belize,Latin America and the Caribbean,TRUE,FALSE
BEN,Benin,Africa,FALSE,TRUE
BTN,Bhutan,Asia-Pacific,FALSE,FALSE
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,FALSE,FALSE
BIH,Bosnia and Herzegovina,Eastern Europe,FALSE,FALSE
BWA,Botswana,Africa,FALSE,FALSE
BRA,Brazil,Latin America and the Caribbean,FALSE,FALSE
BRN,Brunei Darussalam,Asia-Pacific,FALSE,FALSE
BFA,Burkina Faso,Africa,FALSE,TRUE
BDI,Burundi,Africa,FALSE,TRUE
CPV,Cabo Verde,Africa,TRUE,FALSE
KHM,Cambodia,Asia-Pacific,FALSE,TRUE
CMR,Cameroon,Africa,FALSE,FALSE
CAF,Central African Republic (the),Africa,FALSE,TRUE
TCD,Chad,Africa,FALSE,TRUE
CHL,Chile,Latin America and the Caribbean,FALSE,FALSE
CHN,China,Asia-Pacific,FALSE,FALSE
COL,Colombia,Latin America and the Caribbean,FALSE,FALSE
COM,Comoros (the),Africa,TRUE,TRUE
COG,Congo,Africa,FALSE,FALSE
COK,Cook Islands,Asia-Pacific,TRUE,FALSE
CRI,Costa Rica,Latin America and the Caribbean,FALSE,FALSE
CIV,Cote d'Ivoire,Africa,FALSE,FALSE
CUB,Cuba,Latin America and the Caribbean,TRUE,FALSE
PRK,Democratic People's Republic of Korea (the),Asia-Pacific,FALSE,FALSE
COD,Democratic Republic of the Congo (the),Africa,FALSE,TRUE
DJI,Djibouti,Africa,FALSE,TRUE
DMA,Dominica,Latin America and the Caribbean,TRUE,FALSE
DOM,Dominican Republic (the),Latin America and the Caribbean,TRUE,FALSE
ECU,Ecuador,Latin America and the Caribbean,FALSE,FALSE
EGY,Egypt,Africa,FALSE,FALSE
SLV,El Salvador,Latin America and the Caribbean,FALSE,FALSE
