Ref #,Modality,Project Name,Entity,Countries,BM,Sector,Theme,Project Size,ESS Category
FP001,PAP,"Building the Resilience of Wetlands in the Province of Datem del Marañón, Peru",Profonanpe,Peru,B.11,Public,Cross-cutting,Micro,Category C
FP002,PAP,Scaling up the use of Modernized Climate information and Early Warning Systems in Malawi,UNDP,Malawi,B.11,Public,Adaptation,Small,Category C
FP003,PAP,"Increasing the resilience of ecosystems and communities through
the restoration of the productive bases of salinized lands",CSE,Senegal,B.11,Public,Adaptation,Micro,Category C
FP004,PAP,Climate Resilient Infrastructure Mainstreaming (CRIM),KfW,Bangladesh,B.11,Public,Adaptation,Medium,Category B
FP005,PAP,KawiSafi Ventures Fund,Acumen,"Kenya, Rwanda",B.11,Private,Cross-cutting,Micro,Intermediation 3
FP007,PAP,Supporting vulnerable communities in Maldives to manage climate change-induced water shortages,UNDP,Maldives,B.11,Public,Adaptation,Small,Category B
FP008,PAP,Fiji Urban Water Supply and Wastewater Management Project,ADB,Fiji,B.11,Public,Adaptation,Large,Category B
FP009,PAP,Energy Savings Insurance (ESI) for private energy efficiency investments by Small and Medium-Sized Enterprises (SMEs),IDB,El Salvador,B.13,Public,Mitigation,Small,Category C
FP010,PAP,De-Risking and Scaling-up Investment in Energy Efficient Building Retrofits,UNDP,Armenia,B.13,Public,Mitigation,Medium,Category B
FP011,PAP,"Large-scale Ecosystem-based Adaptation in The Gambia: developing a climate-resilient, natural resource-based economy",UNEP,Gambia,B.13,Public,Adaptation,Small,Category C
FP012,PAP,Africa Hydromet Program – Strengthening Climate Resilience in Sub-Saharan Africa: Mali Country Project,WorldBank,Mali,B.13,Public,Adaptation,Small,Category B
FP013,PAP,Improving the resilience of vulnerable coastal communities to climate change related impacts in Viet Nam,UNDP,Viet Nam,B.13,Public,Cross-cutting,Small,Category B
FP014,PAP,Climate Adaptation and Mitigation Program For the Aral Sea Basin (CAMP4ASB),WorldBank,"Tajikistan, Uzbekistan",B.13,Public,Adaptation,Medium,Category B
FP015,PAP,Tuvalu Coastal Adaptation Project (TCAP),UNDP,Tuvalu,B.13,Public,Adaptation,Small,Category B
